gunluk vaka sayi;gunluk test sayi;gunluk iylesen sayi;Toplam asi;Gunluk Asi;Toplam vaka;gunluk olum ;Toplam olum
19,97;296,711;16,651;91081547;675810;6273681;217;55212
19,191;293,037;15,373;90405737;754580;6253711;230;54995
18,857;282,528;15,833;89651157;890632;6234520;232;54765
18,622;265,196;13,263;88760525;317175;6215663;206;54533
19,351;282,857;13,163;88443350;383910;6197041;232;54327
19,918;293,252;15,561;88059440;863866;6177690;204;54095
19,32;292,538;14,743;87195574;781852;6157772;216;53891
19,944;295,206;15,537;86413722;1409452;6138452;168;53675
21,692;294,561;14,636;85004270;948583;6118508;183;53507
18,163;287,947;16,642;84055687;717060;6096816;165;53324
18,847;281,184;14,426;83338627;473130;6078653;154;53159
19,949;284,947;15,364;82865497;843969;6059806;145;53005
21,372;285,242;16,492;82021528;585517;6039857;157;52860
22,261;281,535;15,685;81436011;1796891;6018485;138;52703
27,356;278,263;16,363;79639120;1373903;5996224;128;52565
26,597;264,647;14,954;78265217;1663158;5968868;124;52437
23,731;245,253;7,365;76602059;572669;5942271;117;52313
22,699;239,637;5,835;76029390;355112;5918540;108;52088
25,1;246,037;6,758;75674278;571800;5895841;112;52088
23,957;243,28;6,941;75102478;589597;5870741;101;51976
24,297;245,152;6,636;74512881;177177;5846784;108;51875
26,822;262,048;6,096;74335704;5482;5822487;122;51767
24,832;256,163;6,243;74330222;442841;5795665;126;51645
22,898;270,426;5,947;73887381;394322;5770833;91;51519
20,89;251,224;5,539;73493059;220392;5747935;96;51428
22,332;259,196;5,107;73272667;343025;5727045;79;51332
22,083;256,46;5,752;72929642;1086808;5704713;69;51253
22,161;261,198;5,463;71842834;1406093;5682630;60;51184
22,291;257,474;4,197;70436741;1196203;5660469;76;51124
19,761;246,648;7,108;69240538;1157548;5638178;51;51048
16,809;224,198;5,585;68082990;1276465;5618417;63;50997
14,23;223,837;5,211;66806525;1023228;5601608;55;50934
12,381;221,463;5,383;65783297;453754;5587378;58;50879
11,094;219,528;5,215;65329543;226651;5574997;60;50821
9,586;214,196;5,093;65102892;664015;5563903;52;50761
8,151;184,462;4,946;64438877;509231;5554317;59;50709
8,78;198,537;4,561;63929646;68755;5546166;46;50650
7,667;226,513;4,152;63860891;428445;5537386;50;50604
7,68;233,946;5,835;63432446;362069;5529719;66;50488
7,666;234,161;5,49;63070377;532873;5522039;38;50488
6,918;229,582;5,084;62537504;158675;5514373;35;50450
7,304;232,257;5,103;62378829;1366900;5507455;48;50415
6,907;238,867;5,063;61011929;963934;5500151;43;50367
6,285;234,439;5,162;60047995;960351;5493244;46;50324
5,404;227,273;5,506;59087644;932185;5486959;49;50278
5,261;222,068;5,242;58155459;572035;5481555;37;50229
5,53;224,184;5,217;57583424;334590;5476294;37;50192
5,67;228,826;5,126;57248834;602377;5470764;59;50155
5,171;226,427;5,012;56646457;837787;5465094;48;50096
5,16;225,253;4,636;55808670;804445;5459923;52;50048
5,299;226,651;4,446;55004225;856035;5454763;37;49996
4,678;219,737;4,735;54148190;921880;5449464;35;49959
4,418;216,252;4,161;53226310;746386;5444786;50;49924
4,537;218,924;4,913;52479924;375206;5440368;45;49874
4,891;223,782;5,352;52104718;892530;5435831;55;49829
5,288;225,537;6,219;51212188;604046;5430940;42;49774
5,496;228,163;7,191;50608142;1206697;5425652;45;49732
5,846;229,846;6,536;49401445;462728;5420156;53;49687
5,283;223,525;5,327;48938717;1165615;5414310;58;49634
4,883;215,294;5,937;47773102;693474;5409027;52;49576
5,266;222,561;7,402;47079628;445652;5404144;51;49524
5,63;222,936;7,184;46633976;802238;5398878;56;49473
5,703;223,385;5,846;45831738;880570;5393248;59;49417
5,809;224,192;5,917;44951168;871045;5387545;65;49358
6,143;223,238;5,214;44080123;450944;5381736;57;49293
5,294;221,052;5,093;43629179;1015801;5375593;51;49236
5,091;213,297;4,219;42613378;1418588;5370299;63;49185
5,48;215,496;4,195;41194790;575638;5365208;51;49122
5,575;224,128;4,427;40619152;1172951;5359728;59;49071
5,904;225,064;4,143;39446201;1707102;5354153;62;49012
6,221;227,163;4,632;37739099;1497874;5348249;71;48950
5,955;223,846;4,186;36241225;1463060;5342028;84;48879
5,626;219,29;4,585;34778165;725476;5336073;74;48795
5,012;214,957;4,194;34052689;624527;5330447;53;48721
6,076;218,758;5,112;33428162;475171;5325435;75;48668
6,261;224,128;6,217;32952991;445419;5319359;69;48593
6,408;223,32;6,895;32507572;520231;5313098;96;48524
6,454;224,193;6,647;31987341;397503;5306690;87;48428
6,609;225,527;5,836;31589838;343515;5300236;86;48341
5,647;218,164;6,576;31246323;389003;5293627;91;48255
5,386;204,827;6,003;30857320;281258;5287980;96;48164
6,126;216,156;7,161;30576062;257552;5282594;92;48068
6,169;224,681;7,617;30318510;189251;5276468;94;47976
6,602;222,847;8,54;30129259;472200;5270299;114;47882
7,181;224,15;7,372;29657059;281374;5263697;112;47768
7,112;223,482;9,457;29375685;204142;5256516;129;47656
6,493;219,461;9,582;29171543;210582;5249404;122;47527
6,933;218,957;10,763;28960961;158280;5242911;134;47405
7,656;222,613;11,18;28802681;72504;5235978;137;47271
7,773;220,162;12,284;28730177;124724;5228322;164;47134
8,426;219,465;13,102;28605453;94120;5220549;183;46970
8,738;221,214;12,205;28511333;113486;5212123;166;46787
9,375;223,104;11,192;28397847;236612;5203385;175;46621
7,523;216,655;10,003;28161235;112508;5194010;178;46446
7,839;210,291;11,202;28048727;229780;5186487;197;46268
8,697;216,658;14,472;27818947;73547;5178648;231;46071
9,528;218,846;8,852;27745400;662026;5169951;214;45840
9,385;219,192;9,271;27083374;261914;5160423;207;45626
11,553;218,683;9,271;26821460;284297;5151038;233;45419
11,937;217,276;10,125;26537163;586229;5139485;203;45186
10,174;206,836;13,864;25950934;178191;5127548;223;44983
10,512;202,243;14,418;25772743;85316;5117374;223;44760
11,472;204,637;38,814;25687427;125429;5106862;236;44537
11,394;203,073;37,261;25561998;159721;5095390;242;44301
11,534;201,295;55,472;25402277;53402;5083996;238;44059
